pair_code,city,brand,category,female_product,male_product,female_size,male_size,retailer,date_observed,female_price_local,male_price_local,currency,female_on_promo,male_on_promo,female_ppu_local,male_ppu_local,pink_tax_pct,match_quality,confidence,match_notes,ingredient_count_female,ingredient_count_male,ingredient_overlap_pct,top_5_shared,female_unique_count,male_unique_count,jaccard_similarity,data_source,obf_female_match,obf_male_match
DARIYA-HAIRCOLO-TKY-AUTO040,Tokyo,Dariya,Hair Colour,Salon de Pro Women Hair Colour Cream (50g),Salon de Pro Men's Hair Colour (40g),50,40,Amazon.co.jp,2026-03-10,800,573,JPY,0,0,16.0,14.325,11.6928,3,HIGH,source=amazon_jp_raw.csv,,,,,,,,,,
DHC-FACIALCL-TKY-AUTO038,Tokyo,DHC,Facial Cleanser,DHC Deep Cleansing Oil Women (120ml),DHC Men Oil Cleansing (120ml),120,120,Amazon.co.jp,2026-03-10,2440,3520,JPY,0,1,20.333333,29.333333,-30.6818,3,HIGH,source=amazon_jp_raw.csv,10,10,70.0,aqua|citric acid|cocamidopropyl betaine|glycerin|olive oil,3,3,0.5385,fallback_table,built-in,built-in
DHC-FACIALCL-TKY-AUTO038,Tokyo,DHC,Facial Cleanser,DHC Deep Cleansing Oil Women (120ml),DHC Men Oil Cleansing (120ml),120,120,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,3.458333,3.458333,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,70.0,aqua|citric acid|cocamidopropyl betaine|glycerin|olive oil,3,3,0.5385,fallback_table,built-in,built-in
DHC-FACIALCL-TKY-AUTO038,Tokyo,DHC,Facial Cleanser,DHC Deep Cleansing Oil Women (120ml),DHC Men Oil Cleansing (120ml),120,120,Rakuten Japan,2026-03-10,1540,1180,JPY,0,0,12.833333,9.833333,30.5085,3,HIGH,source=rakuten_jp_raw.csv,10,10,70.0,aqua|citric acid|cocamidopropyl betaine|glycerin|olive oil,3,3,0.5385,fallback_table,built-in,built-in
DHC-HANDCREA-TKY-AUTO039,Tokyo,DHC,Hand Cream,DHC Medicated Hand Cream Women 50ml,DHC Men Hand Cream 50ml,50,50,Amazon.co.jp,2026-03-10,552,2200,JPY,0,1,11.04,44.0,-74.9091,3,HIGH,source=amazon_jp_raw.csv,10,10,80.0,aqua|cetearyl alcohol|dimethicone|glycerin|olive oil,2,2,0.6667,fallback_table,built-in,built-in
DHC-HANDCREA-TKY-AUTO039,Tokyo,DHC,Hand Cream,DHC Medicated Hand Cream Women 50ml,DHC Men Hand Cream 50ml,50,50,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,8.3,8.3,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,80.0,aqua|cetearyl alcohol|dimethicone|glycerin|olive oil,2,2,0.6667,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,Dove Beauty Bar,Dove Men+Care Clean Comfort Bar,100,100,Amazon.co.jp,2026-03-10,1582,6960,JPY,0,0,15.82,69.6,-77.2701,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,Dove Beauty Bar,Dove Men+Care Clean Comfort Bar,100,100,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,4.15,4.15,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO043,Tokyo,Dove,Bar Soap,Dove Beauty Bar,Dove Men+Care Clean Comfort Bar,100,100,Rakuten Japan,2026-03-10,5490,5200,JPY,0,0,54.9,52.0,5.5769,3,HIGH,source=rakuten_jp_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,Dove Beauty Bar Japan 135g,Dove Men+Care Clean Comfort Bar Japan 135g,135,135,Amazon.co.jp,2026-03-10,1800,875,JPY,0,0,13.333333,6.481481,105.7143,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,Dove Beauty Bar Japan 135g,Dove Men+Care Clean Comfort Bar Japan 135g,135,135,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,3.074074,3.074074,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO044,Tokyo,Dove,Bar Soap,Dove Beauty Bar Japan 135g,Dove Men+Care Clean Comfort Bar Japan 135g,135,135,Rakuten Japan,2026-03-10,2990,4800,JPY,0,0,22.148148,35.555556,-37.7083,3,HIGH,source=rakuten_jp_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-BARSOAP-TKY-AUTO045,Tokyo,Dove,Bar Soap,Dove Cream Beauty Bathing Bar Shea Butter Women (1,Dove Men+Care Clean Comfort Bar (100g),100,100,Amazon.co.jp,2026-03-10,1980,875,JPY,0,0,19.8,8.75,126.2857,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|glycerin|lauric acid|parfum|sodium isethionate,1,1,0.8182,fallback_table,built-in,built-in
DOVE-CONDITIO-TKY-AUTO049,Tokyo,Dove,Conditioner,Dove Moisture Care Conditioner 500ml,Dove Men+Care Hair Defence Conditioner 500ml,500,500,Amazon.co.jp,2026-03-10,776,841,JPY,0,0,1.552,1.682,-7.7289,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|behentrimonium chloride|cetearyl alcohol|citric acid|dimethicone,1,1,0.8182,fallback_table,built-in,built-in
DOVE-DEODORAN-TKY-AUTO050,Tokyo,Dove,Deodorant Roll-On,Dove Eventone Deodorant Roll-On,Dove Men+Care Dry Comfort Roll-On,100,100,Amazon.co.jp,2026-03-10,1990,1990,JPY,0,1,19.9,19.9,0.0,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aluminum zirconium tetrachlorohydrex gly|aqua|cyclopentasiloxane|dimethicone|hydrogenated castor oil,1,1,0.8182,fallback_table,built-in,built-in
DOVE-DEODORAN-TKY-AUTO051,Tokyo,Dove,Deodorant Roll-On,Dove Advance Care Deodorant Women (40ml),Dove Men+Care Roll-On (40ml),40,40,Amazon.co.jp,2026-03-10,1350,1990,JPY,0,0,33.75,49.75,-32.1608,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aluminum zirconium tetrachlorohydrex gly|aqua|cyclopentasiloxane|dimethicone|hydrogenated castor oil,1,1,0.8182,fallback_table,built-in,built-in
DOVE-DEODORAN-TKY-AUTO052,Tokyo,Dove,Deodorant Spray,Dove Eventone Body Spray Women 150ml,Dove Men+Care Clean Comfort Spray 150ml,150,150,Amazon.co.jp,2026-03-10,2200,1990,JPY,0,0,14.666667,13.266667,10.5528,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,alcohol denat|aluminum chlorohydrate|aqua|butane|cyclopentasiloxane,1,1,0.8182,fallback_table,built-in,built-in
DOVE-FACIALCL-TKY-AUTO053,Tokyo,Dove,Facial Cleanser,Dove Cream Milk Face Wash 100ml,Dove Men+Care Sensitive Face Wash 100ml,100,100,Amazon.co.jp,2026-03-10,740,875,JPY,1,1,7.4,8.75,-15.4286,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|panthenol,1,1,0.8182,fallback_table,built-in,built-in
DOVE-SHAMPOO-TKY-AUTO058,Tokyo,Dove,Shampoo,Dove Moisture Care Shampoo 500ml,Dove Men+Care Scalp Care Shampoo 480ml,500,480,Amazon.co.jp,2026-03-10,1463,450,JPY,0,1,2.926,0.9375,212.1067,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|dimethicone|glycerin,1,1,0.8182,fallback_table,built-in,built-in
DOVE-SUNSCREE-TKY-AUTO059,Tokyo,Dove,Sunscreen,Dove Even Tone Antiperspirant+SPF Roll-On 50ml,Dove Men+Care Control Antiperspirant Roll-On 50ml,50,50,Amazon.co.jp,2026-03-10,2200,3480,JPY,1,1,44.0,69.6,-36.7816,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|avobenzone|dimethicone|ethylhexyl salicylate|glycerin,1,1,0.8182,fallback_table,built-in,built-in
DOVE-SUNSCREE-TKY-AUTO059,Tokyo,Dove,Sunscreen,Dove Even Tone Antiperspirant+SPF Roll-On 50ml,Dove Men+Care Control Antiperspirant Roll-On 50ml,50,50,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,8.3,8.3,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,90.0,aqua|avobenzone|dimethicone|ethylhexyl salicylate|glycerin,1,1,0.8182,fallback_table,built-in,built-in
GARNIE-SHAMPOO-TKY-AUTO073,Tokyo,Garnier,Shampoo,Garnier Ultra Blends Soy Milk Shampoo 340ml,Garnier Men Anti-Dandruff Shampoo 340ml,340,340,Amazon.co.jp,2026-03-10,2800,5940,JPY,1,1,8.235294,17.470588,-52.862,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|dimethicone|glycerin,1,1,0.8182,fallback_table,built-in,built-in
GARNIE-SHAMPOO-TKY-AUTO074,Tokyo,Garnier,Shampoo,Garnier Fructis Smooth & Shine Shampoo 400ml,Garnier Fructis Men Clean & Fresh Shampoo 400ml,400,400,Amazon.co.jp,2026-03-10,2504,1980,JPY,1,0,6.26,4.95,26.4646,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|dimethicone|glycerin,1,1,0.8182,fallback_table,built-in,built-in
GILLET-RAZOR-TKY-01,Tokyo,Gillette/Venus,Razor (3-blade starter kit),Gillette Venus Smooth Razor,Gillette Mach3 Razor,1,1,Amazon.co.jp,2026-03-10,2725,6028,JPY,1,0,2725.0,6028.0,-54.7943,5,HIGH,source=amazon_jp_raw.csv,15,15,100.0,aloe barbadensis leaf juice|bht|glycol|lubrastrip : peg-7m|peg-100,0,0,1.0,api,Swirl,Swirl
GILLET-RAZOR3BL-TKY-AUTO075,Tokyo,Gillette/Venus,Razor (3-blade starter kit),Gillette Venus Smooth (handle + 2 cartridges),Gillette Mach3 (handle + 1 cartridge),100,100,Amazon.co.jp,2026-03-10,3492,6028,JPY,0,1,34.92,60.28,-42.0703,3,HIGH,source=amazon_jp_raw.csv,15,15,100.0,aloe barbadensis leaf juice|bht|glycol|lubrastrip : peg-7m|peg-100,0,0,1.0,api,Swirl,Swirl
GILLET-RAZOR3BL-TKY-AUTO076,Tokyo,Gillette/Venus,Razor (3-blade starter kit),Gillette Venus Simply 3 Disposable Razor 3-pack,Gillette Blue3 Disposable Razor 3-pack,100,100,Amazon.co.jp,2026-03-10,1309,5283,JPY,0,0,13.09,52.83,-75.2224,3,HIGH,source=amazon_jp_raw.csv,15,15,100.0,aloe barbadensis leaf juice|bht|glycol|lubrastrip : peg-7m|peg-100,0,0,1.0,api,Swirl,Swirl
GILLET-RAZOR3BL-TKY-AUTO077,Tokyo,Gillette/Venus,Razor (3-blade starter kit),Gillette Venus Embrace Razor + 2 blades,Gillette Mach3 Razor + 2 cartridges,100,100,Amazon.co.jp,2026-03-10,1216,6028,JPY,0,0,12.16,60.28,-79.8275,3,HIGH,source=amazon_jp_raw.csv,15,15,100.0,aloe barbadensis leaf juice|bht|glycol|lubrastrip : peg-7m|peg-100,0,0,1.0,api,Swirl,Swirl
GILLET-RAZORCAR-TKY-AUTO078,Tokyo,Gillette/Venus,Razor Cartridges,Gillette Venus Smooth Cartridges 4-pack,Gillette Mach3 Cartridges 4-pack,100,100,Amazon.co.jp,2026-03-10,1216,6028,JPY,0,1,12.16,60.28,-79.8275,3,HIGH,source=amazon_jp_raw.csv,12,9,0.0,,12,9,0.0,api,Venus Extra Smooth,Sport Triumph
GILLET-RAZORCAR-TKY-AUTO079,Tokyo,Gillette/Venus,Razor Cartridges,Gillette Venus Smooth Cartridges 6-pack,Gillette Mach3 Cartridges 6-pack,100,100,Amazon.co.jp,2026-03-10,2725,6028,JPY,0,0,27.25,60.28,-54.7943,3,HIGH,source=amazon_jp_raw.csv,12,9,0.0,,12,9,0.0,api,Venus Extra Smooth,Sport Triumph
GODREJ-BARSOAP-TKY-AUTO080,Tokyo,Godrej,Bar Soap,Godrej Nupur Moisturising Soap (100g),Godrej Expert Men Soap (100g),100,100,Amazon.co.jp,2026-03-10,2182,1139,JPY,1,0,21.82,11.39,91.5716,3,HIGH,source=amazon_jp_raw.csv,10,10,80.0,aqua|glycerin|parfum|sodium chloride|sodium palm kernelate,2,2,0.6667,fallback_table,built-in,built-in
HEADSH-CONDITIO-TKY-AUTO085,Tokyo,Head & Shoulders,Conditioner,H&S Smooth & Silky Conditioner 340ml,H&S Men 2-in-1 Anti-Dandruff 340ml,340,340,Amazon.co.jp,2026-03-10,3051,1950,JPY,0,0,8.973529,5.735294,56.4615,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|behentrimonium chloride|cetearyl alcohol|citric acid|dimethicone,1,1,0.8182,fallback_table,built-in,built-in
HEADSH-SHAMPOO-TKY-AUTO086,Tokyo,Head & Shoulders,Shampoo,H&S Smooth & Silky Shampoo,H&S Men Ultra Shampoo,100,100,Amazon.co.jp,2026-03-10,2600,1950,JPY,1,0,26.0,19.5,33.3333,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,1,1,0.8182,fallback_table,built-in,built-in
HEADSH-SHAMPOO-TKY-AUTO087,Tokyo,Head & Shoulders,Shampoo,H&S Smooth Damage Care Shampoo 440ml,H&S Men Scalp Care Shampoo 400ml,440,400,Amazon.co.jp,2026-03-10,3051,1950,JPY,0,0,6.934091,4.875,42.2378,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,1,1,0.8182,fallback_table,built-in,built-in
HIMALA-CONDITIO-TKY-AUTO091,Tokyo,Himalaya,Conditioner,Himalaya Protein Conditioner 200ml,Himalaya Men Protein Conditioner 200ml,200,200,Amazon.co.jp,2026-03-10,3490,3490,JPY,0,0,17.45,17.45,0.0,3,HIGH,source=amazon_jp_raw.csv,10,10,80.0,aqua|behentrimonium chloride|cetearyl alcohol|citric acid|dimethicone,2,2,0.6667,fallback_table,built-in,built-in
HIMALA-HANDWASH-TKY-AUTO094,Tokyo,Himalaya,Hand Wash,Himalaya Pure Hands Sparkling Rose Hand Wash 250ml,Himalaya Men Active Fresh Hand Wash 250ml,250,250,Amazon.co.jp,2026-03-10,3222,1379,JPY,1,0,12.888,5.516,133.6476,3,HIGH,source=amazon_jp_raw.csv,19,19,100.0,acrylates|ammonium lauryl sulfate|aqua|c10-30 alkyl acrylate crosspolymer|citric acid,0,0,1.0,api,Himalaya,Himalaya
HIMALA-SHAMPOO-TKY-AUTO095,Tokyo,Himalaya,Shampoo,Himalaya Anti-Dandruff Shampoo Women 200ml,Himalaya Men Anti-Dandruff Shampoo 200ml,200,200,Amazon.co.jp,2026-03-10,1930,1250,JPY,1,0,9.65,6.25,54.4,3,HIGH,source=amazon_jp_raw.csv,10,10,70.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,3,3,0.5385,fallback_table,built-in,built-in
HNS-SHAMP-TKY-01,Tokyo,Head & Shoulders,Shampoo,Head & Shoulders Smooth & Silky Shampoo 440ml,Head & Shoulders Men Scalp Care Shampoo 400ml,440,400,Amazon.co.jp,2026-03-10,2600,3535,JPY,0,0,5.909091,8.8375,-33.1362,4,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,1,1,0.8182,fallback_table,built-in,built-in
INDULE-HAIRGELS-TKY-AUTO100,Tokyo,Indulekha,Hair Gel / Serum,Indulekha Bringha Hair Serum Women 50ml,Indulekha Men Anti Hairfall Serum 50ml,50,50,Amazon.co.jp,2026-03-10,2199,2270,JPY,0,1,43.98,45.4,-3.1278,3,HIGH,source=amazon_jp_raw.csv,,,,,,,,,,
INDULE-SHAMPOO-TKY-AUTO102,Tokyo,Indulekha,Shampoo,Indulekha Bringha Shampoo 200ml,Indulekha Men Hair Vitalizer 200ml,200,200,Amazon.co.jp,2026-03-10,3029,2270,JPY,0,0,15.145,11.35,33.4361,3,HIGH,source=amazon_jp_raw.csv,10,10,80.0,aqua|bhringraj oil|citric acid|cocamidopropyl betaine|glycerin,2,2,0.6667,fallback_table,built-in,built-in
KAO-BODYWASH-TKY-AUTO103,Tokyo,Kao,Body Wash,Kao Jergens Body Wash Sakura Women (450ml),Kao Men's Biore Body Wash Charcoal (440ml),450,440,Amazon.co.jp,2026-03-10,2480,1408,JPY,1,0,5.511111,3.2,72.2222,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,1,1,0.8182,fallback_table,built-in,built-in
KAO-BODYWASH-TKY-AUTO103,Tokyo,Kao,Body Wash,Kao Jergens Body Wash Sakura Women (450ml),Kao Men's Biore Body Wash Charcoal (440ml),450,440,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,0.922222,0.943182,-2.2223,3,HIGH,source=matsumoto_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,1,1,0.8182,fallback_table,built-in,built-in
KAO-BODYWASH-TKY-AUTO103,Tokyo,Kao,Body Wash,Kao Jergens Body Wash Sakura Women (450ml),Kao Men's Biore Body Wash Charcoal (440ml),450,440,Rakuten Japan,2026-03-10,1350,1350,JPY,0,0,3.0,3.068182,-2.2222,3,HIGH,source=rakuten_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,1,1,0.8182,fallback_table,built-in,built-in
KAO-DEODORAN-TKY-AUTO104,Tokyo,Kao,Deodorant Spray,Kao Biore Deo Spray Refresh Women (150ml),Kao Men's Biore Deo Spray Cool (150ml),150,150,Amazon.co.jp,2026-03-10,2172,1408,JPY,0,0,14.48,9.386667,54.2614,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,alcohol denat|aluminum chlorohydrate|aqua|butane|cyclopentasiloxane,1,1,0.8182,fallback_table,built-in,built-in
KAO-DEODORAN-TKY-AUTO104,Tokyo,Kao,Deodorant Spray,Kao Biore Deo Spray Refresh Women (150ml),Kao Men's Biore Deo Spray Cool (150ml),150,150,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,2.766667,2.766667,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,90.0,alcohol denat|aluminum chlorohydrate|aqua|butane|cyclopentasiloxane,1,1,0.8182,fallback_table,built-in,built-in
KAO-DEODORAN-TKY-AUTO104,Tokyo,Kao,Deodorant Spray,Kao Biore Deo Spray Refresh Women (150ml),Kao Men's Biore Deo Spray Cool (150ml),150,150,Rakuten Japan,2026-03-10,2980,762,JPY,0,0,19.866667,5.08,291.0761,3,HIGH,source=rakuten_jp_raw.csv,10,10,90.0,alcohol denat|aluminum chlorohydrate|aqua|butane|cyclopentasiloxane,1,1,0.8182,fallback_table,built-in,built-in
KAO-FACETONE-TKY-AUTO105,Tokyo,Kao,Face Toner,Kao Sofina IP Toner Women (200ml),Kao Men's Biore Toner (160ml),200,160,Amazon.co.jp,2026-03-10,4290,1699,JPY,1,0,21.45,10.61875,102.0012,3,HIGH,source=amazon_jp_raw.csv,19,19,100.0,benzalkonium chloride|butylene glycol|disodium edta|fragrance|glycol distearate,0,0,1.0,api,Biore guard antibacterial body foam,Biore guard antibacterial body foam
KAO-FACETONE-TKY-AUTO105,Tokyo,Kao,Face Toner,Kao Sofina IP Toner Women (200ml),Kao Men's Biore Toner (160ml),200,160,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,2.075,2.59375,-20.0,3,HIGH,source=matsumoto_raw.csv,19,19,100.0,benzalkonium chloride|butylene glycol|disodium edta|fragrance|glycol distearate,0,0,1.0,api,Biore guard antibacterial body foam,Biore guard antibacterial body foam
KAO-FACETONE-TKY-AUTO105,Tokyo,Kao,Face Toner,Kao Sofina IP Toner Women (200ml),Kao Men's Biore Toner (160ml),200,160,Rakuten Japan,2026-03-10,374,345,JPY,0,0,1.87,2.15625,-13.2754,3,HIGH,source=rakuten_jp_raw.csv,19,19,100.0,benzalkonium chloride|butylene glycol|disodium edta|fragrance|glycol distearate,0,0,1.0,api,Biore guard antibacterial body foam,Biore guard antibacterial body foam
KAO-HANDWASH-TKY-AUTO109,Tokyo,Kao,Hand Wash,Kao Soflan Aroma Rich Hand Soap Women (250ml),Kao Men's Biore Hand Soap Refresh (250ml),250,250,Amazon.co.jp,2026-03-10,2611,1648,JPY,1,0,10.444,6.592,58.4345,3,HIGH,source=amazon_jp_raw.csv,19,19,100.0,benzalkonium chloride|butylene glycol|disodium edta|fragrance|glycol distearate,0,0,1.0,api,Biore guard antibacterial body foam,Biore guard antibacterial body foam
KAO-HANDWASH-TKY-AUTO109,Tokyo,Kao,Hand Wash,Kao Soflan Aroma Rich Hand Soap Women (250ml),Kao Men's Biore Hand Soap Refresh (250ml),250,250,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,1.66,1.66,0.0,3,HIGH,source=matsumoto_raw.csv,19,19,100.0,benzalkonium chloride|butylene glycol|disodium edta|fragrance|glycol distearate,0,0,1.0,api,Biore guard antibacterial body foam,Biore guard antibacterial body foam
KAOMER-BODYWASH-TKY-AUTO116,Tokyo,Kao/Merit,Body Wash,Kao Laurier Body Wash Women 550ml,Kao Men's Biore Body Wash 550ml,550,550,Amazon.co.jp,2026-03-10,4290,1408,JPY,1,0,7.8,2.56,204.6875,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|glycerin|parfum,1,1,0.8182,fallback_table,built-in,built-in
KAOMER-CONDITIO-TKY-AUTO117,Tokyo,Kao/Merit,Conditioner,Kao Merit Conditioner 480ml,Kao Merit Men Conditioner 480ml,480,480,Amazon.co.jp,2026-03-10,909,500,JPY,1,1,1.89375,1.041667,81.7999,3,HIGH,source=amazon_jp_raw.csv,10,10,80.0,aqua|behentrimonium chloride|cetearyl alcohol|citric acid|dimethicone,2,2,0.6667,fallback_table,built-in,built-in
KAOMER-CONDITIO-TKY-AUTO117,Tokyo,Kao/Merit,Conditioner,Kao Merit Conditioner 480ml,Kao Merit Men Conditioner 480ml,480,480,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,0.864583,0.864583,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,80.0,aqua|behentrimonium chloride|cetearyl alcohol|citric acid|dimethicone,2,2,0.6667,fallback_table,built-in,built-in
KAOMER-CONDITIO-TKY-AUTO117,Tokyo,Kao/Merit,Conditioner,Kao Merit Conditioner 480ml,Kao Merit Men Conditioner 480ml,480,480,Rakuten Japan,2026-03-10,1350,1316,JPY,0,0,2.8125,2.741667,2.5836,3,HIGH,source=rakuten_jp_raw.csv,10,10,80.0,aqua|behentrimonium chloride|cetearyl alcohol|citric acid|dimethicone,2,2,0.6667,fallback_table,built-in,built-in
KAOMER-SHAMPOO-TKY-AUTO121,Tokyo,Kao/Merit,Shampoo,Kao Merit Shampoo 480ml,Kao Merit Men Shampoo 480ml,480,480,Amazon.co.jp,2026-03-10,1653,1000,JPY,1,0,3.44375,2.083333,65.3,3,HIGH,source=amazon_jp_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|dimethicone|glycerin,1,1,0.8182,fallback_table,built-in,built-in
KAOMER-SHAMPOO-TKY-AUTO121,Tokyo,Kao/Merit,Shampoo,Kao Merit Shampoo 480ml,Kao Merit Men Shampoo 480ml,480,480,Matsumoto Kiyoshi,2026-03-18,415,415,JPY,0,0,0.864583,0.864583,0.0,3,HIGH,source=matsumoto_raw.csv,10,10,90.0,aqua|citric acid|cocamidopropyl betaine|dimethicone|glycerin,1,1,0.8182,fallback_table,built-in,built-in
